Event ID,Prediction,DoS Score,Risk Level,SOC Action,Actual,Analyst Decision,MITRE Tactic,MITRE Technique ID,MITRE Technique
1,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
2,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
3,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
4,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
5,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
6,1,0.9660019202069975,HIGH,SOC ALERT + HUMAN REVIEW,1,CONFIRMED DOS,Impact,T1498,Network Denial of Service
7,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
8,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
9,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
10,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
11,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
12,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
13,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
14,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
15,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
16,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
17,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
18,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
19,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
20,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
21,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
22,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
23,1,0.9568226701974889,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
24,1,0.9080208674002335,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
25,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
26,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
27,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
28,1,0.9276443566136899,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
29,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
30,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
31,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
32,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
33,1,0.9080208674002335,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
34,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
35,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
36,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
37,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
38,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
39,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
40,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
41,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
42,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
43,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
44,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
45,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
46,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
47,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
48,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
49,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
50,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
51,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
52,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
53,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
54,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
55,1,0.9660019202069975,HIGH,SOC ALERT + HUMAN REVIEW,0,PENDING REVIEW,Impact,T1498,Network Denial of Service
56,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
57,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
58,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
59,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
60,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
61,0,0.45487650213152636,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
62,0,0.0,LOW,LOG ONLY,0,NOT REQUIRED,N/A,N/A,N/A
63,1,1.0,HIGH,SOC ALERT + HUMAN REVIEW,1,PENDING REVIEW,Impact,T1498,Network Denial of Service
